OBJECTID,Easting,Northing,Elevation,Bathydepth,Bathymeters,Included,Predicted,Error,absERROR
133,183549.127,562259.703,-14.162,-3.5887,-11.77380696,Yes,-13.671901261007,0.490098738993014,0.490098738993014
134,183556.285,562261.333,-14.149,-3.5757,-11.73115656,Yes,-13.6200263338186,0.528973666181367,0.528973666181367
135,183563.559,562260.988,-13.601,-3.0277,-9.93327816,Yes,-13.4861343017736,0.11486569822636,0.11486569822636
136,183571.011,562261.166,-13.537,-2.9637,-9.72330696,Yes,-13.3030301466652,0.233969853334765,0.233969853334765
137,183578.155,562261.021,-13.164,-2.5907,-8.49956856,Yes,-13.0511099922286,0.11289000777141,0.11289000777141
138,183585.292,562261.035,-12.737,-2.1637,-7.09866696,Yes,-12.6767514888674,0.060248511132574,0.060248511132574
139,183592.397,562261.469,-12.313,-1.7397,-5.70760776,Yes,-12.2869843062025,0.026015693797534,0.026015693797534
140,183599.631,562261.582,-12.043,-1.4697,-4.82179176,Yes,-11.9228999085771,0.120100091422929,0.120100091422929
141,183603.915,562261.859,-11.748,-1.1747,-3.85395576,Yes,-11.6907439676355,0.057256032364533,0.057256032364533
142,183598.112,562269.49,-11.961,-1.3877,-4.55276616,Yes,-11.8760322386824,0.084967761317566,0.084967761317566
143,183593.022,562269.699,-12.234,-1.6607,-5.44842456,Yes,-12.1637764823567,0.070223517643298,0.070223517643298
144,183588.428,562269.726,-12.503,-1.9297,-6.33095976,Yes,-12.4174850058601,0.085514994139935,0.085514994139935
145,183581.302,562269.301,-12.849,-2.2757,-7.46611656,Yes,-12.7863414123396,0.062658587660383,0.062658587660383
146,183576.275,562269.29,-13.102,-2.5287,-8.29615896,Yes,-12.9889306934517,0.113069306548297,0.113069306548297
147,183571.745,562269.139,-13.267,-2.6937,-8.83749096,Yes,-13.1516457739709,0.115354226029144,0.115354226029144
148,183566.987,562269.211,-13.493,-2.9197,-9.57895176,Yes,-13.269120172812,0.223879827187995,0.223879827187995
149,183559.59,562268.36,-13.548,-2.9747,-9.75939576,Yes,-13.4231823853408,0.124817614659237,0.124817614659237
150,183552.418,562269.141,-13.693,-3.1197,-10.23511176,Yes,-13.5368654938235,0.156134506176487,0.156134506176487
151,183547.504,562268.496,-13.859,-3.2857,-10.77972456,Yes,-13.6041194642685,0.254880535731543,0.254880535731543
152,183540.394,562267.834,-14.106,-3.5327,-11.59008216,Yes,-13.6441718942077,0.461828105792288,0.461828105792288
153,183533.357,562268.4,-14.097,-3.5237,-11.56055496,Yes,-13.6372070809166,0.459792919083384,0.459792919083384
154,183526.195,562268.12,-14.13,-3.5567,-11.66882136,Yes,-13.6396303926766,0.490369607323428,0.490369607323428
155,183518.751,562266.992,-14.13,-3.5567,-11.66882136,Yes,-13.6643722276366,0.465627772363392,0.465627772363392
156,183511.531,562268.001,-14.173,-3.5997,-11.80989576,Yes,-13.7084230065885,0.464576993411463,0.464576993411463
157,183504.301,562267.614,-14.187,-3.6137,-11.85582696,Yes,-13.7077261940033,0.47927380599673,0.47927380599673
